"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","F2_5","CG56","T268_95","BM37_95","AV25_95","CG78","CG78b","CG678","CG1103","SF93","V80_94","AS1H41","CG98","NW221","RF21","T17","S4","Sz1b","CG81","CG474","CG967","CG1118"
"g000669_000002","g000669","ftsY","Signal recognition particle receptor FtsY",70,48,311,1,1,1,1,0,1,0,311,"Signal recognition particle receptor FtsY(312)","ftsY(312)",207,1545,1443.73,28,3,"F2_5_03761","CG56_00751","T268_95_03932","BM37_95_04913","AV25_95_03681","CG78_00843","CG78b_04651","CG678_04647","CG1103_04070","SF93_04538","V80_94_03661","AS1H41_03661","CG98_02112","NW221_04026","RF21_03798","T17_00214","S4_03330","Sz1b_03696","CG81_00878","CG474_04218","CG967_01217","CG1118_02091"
"g003090_000001","g003090","yciB","intracellular septation protein A",60,25,311,1,1,1,0,0,0,0,311,"intracellular septation protein A(303):Intracellular septation protein(8)","yciB(311)",642,735,668.65,28,4,"F2_5_03760","CG56_00750","T268_95_03931","BM37_95_04912","AV25_95_03680","CG78_00842","CG78b_04650","CG678_04646","CG1103_04071","SF93_04539","V80_94_03660","AS1H41_03660","CG98_02113","NW221_04025","RF21_03799","T17_00215","S4_03329","Sz1b_03695","CG81_00877","CG474_04219","CG967_01216","CG1118_02092"
"g000932_000001","g000932",NA,"hypothetical protein",60,44,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",498,597,594.78,28,5,"F2_5_03759","CG56_00749","T268_95_03930","BM37_95_04911","AV25_95_03679","CG78_00841","CG78b_04649","CG678_04645","CG1103_04072","SF93_04540","V80_94_03659","AS1H41_03659","CG98_02114","NW221_04024","RF21_03800","T17_00216","S4_03328","Sz1b_03694","CG81_00876","CG474_04220","CG967_01215","CG1118_02093"
"g001264_000001","g001264","cycY","Thiol:disulfide interchange protein CycY",60,39,311,1,1,1,0,0,0,0,311,"Thiol:disulfide interchange protein CycY(310):Thiol-disulfide oxidoreductase ResA(1)","cycY(310):resA(1)",591,687,609.35,28,6,"F2_5_03758","CG56_00748","T268_95_03929","BM37_95_04910","AV25_95_03678","CG78_00840","CG78b_04648","CG678_04644","CG1103_04073","SF93_04541","V80_94_03658","AS1H41_03658","CG98_02115","NW221_04023","RF21_03801","T17_00217","S4_03327","Sz1b_03693","CG81_00875","CG474_04221","CG967_01214","CG1118_02094"
"g003073_000003","g003073","ddlB","D-alanine--D-alanine ligase B",80,25,311,1,1,1,0,0,0,0,311,"D-alanine--D-alanine ligase B(268):D-alanine--D-alanine ligase(43)","ddlB(268):ddl(43)",927,945,927.12,29,1,"F2_5_00092","CG56_01654","T268_95_00193","BM37_95_02573","AV25_95_00950","CG78_05116","CG78b_02593","CG678_02593","CG1103_05085","SF93_05627","V80_94_01380","AS1H41_01380","CG98_03933","NW221_00758","RF21_04831","T17_04991","S4_02283","Sz1b_01300","CG81_03617","CG474_03575","CG967_00242","CG1118_05523"
"g002699_000001","g002699","ftsQ","Cell division protein FtsQ",60,27,311,1,1,1,0,0,0,0,311,"Cell division protein FtsQ(311)","ftsQ(311)",927,939,933.69,29,2,"F2_5_00091","CG56_01655","T268_95_00192","BM37_95_02572","AV25_95_00949","CG78_05117","CG78b_02592","CG678_02592","CG1103_05084","SF93_05626","V80_94_01379","AS1H41_01379","CG98_03934","NW221_00759","RF21_04832","T17_04990","S4_02282","Sz1b_01301","CG81_03618","CG474_03574","CG967_00241","CG1118_05522"
"g007327_000003","g007327","ftsA","Cell division protein FtsA",80,8,311,1,1,1,2,0,2,0,311,"Cell division protein FtsA(313)","ftsA(313)",255,1335,1322.65,29,3,"F2_5_00090","CG56_01656","T268_95_00191","BM37_95_02571","AV25_95_00948","CG78_05118","CG78b_02591","CG678_02591","CG1103_05083","SF93_05625","V80_94_01378","AS1H41_01378","CG98_03935","NW221_00760","RF21_04833","T17_04989","S4_02281","Sz1b_01302","CG81_03619","CG474_03573","CG967_00240","CG1118_05521"
"g003404_000002","g003404","lpxC","UDP-3-O-acyl-N-acetylglucosamine deacetylase",70,23,311,1,1,1,0,0,0,0,311,"UDP-3-O-acyl-N-acetylglucosamine deacetylase(311)","lpxC(311)",366,1053,954.66,29,4,"F2_5_00088","CG56_01658","T268_95_00189","BM37_95_02569","AV25_95_00946","CG78_05120","CG78b_02589","CG678_02589","CG1103_05081","SF93_05623","V80_94_01376","AS1H41_01376","CG98_03937","NW221_00762","RF21_04835","T17_04987","S4_02279","Sz1b_01304","CG81_03621","CG474_03571","CG967_00238","CG1118_05519"
"g003789_000001","g003789","bamD","Outer membrane protein assembly factor BamD",60,21,311,1,1,1,0,0,0,0,311,"Outer membrane protein assembly factor BamD(311)","bamD(311)",840,870,855.94,29,5,"F2_5_00087","CG56_01659","T268_95_00188","BM37_95_02568","AV25_95_00945","CG78_05121","CG78b_02588","CG678_02588","CG1103_05080","SF93_05622","V80_94_01375","AS1H41_01375","CG98_03938","NW221_00763","RF21_04836","T17_04986","S4_02278","Sz1b_01305","CG81_03622","CG474_03570","CG967_00237","CG1118_05518"
"g003039_000003","g003039","recN","DNA repair protein RecN",80,21,311,1,1,1,2,0,2,0,311,"DNA repair protein RecN(313)","recN(313)",540,1674,1662.71,29,6,"F2_5_00086","CG56_01660","T268_95_00187","BM37_95_02567","AV25_95_00944","CG78_05122","CG78b_02587","CG678_02587","CG1103_05079","SF93_05621","V80_94_01374","AS1H41_01374","CG98_03939","NW221_00764","RF21_04837","T17_04985","S4_02277","Sz1b_01306","CG81_03623","CG474_03569","CG967_00236","CG1118_05517"
"g003157_000004","g003157","nqo3","NADH-quinone oxidoreductase chain 3",90,10,311,1,1,1,1,0,1,0,311,"NADH-quinone oxidoreductase chain 3(312)","nqo3(312)",429,2187,2083.11,30,1,"F2_5_01330","CG56_03200","T268_95_04726","BM37_95_00193","AV25_95_03056","CG78_02352","CG78b_02115","CG678_02113","CG1103_00227","SF93_00694","V80_94_02950","AS1H41_02950","CG98_04342","NW221_03890","RF21_00693","T17_00806","S4_01352","Sz1b_02211","CG81_04801","CG474_01067","CG967_05401","CG1118_05279"
"g006089_000003","g006089","nuoH","NADH-quinone oxidoreductase subunit H",80,12,311,1,1,1,0,0,0,0,311,"NADH-quinone oxidoreductase subunit H(311)","nuoH(311)",1044,1047,1045.44,30,2,"F2_5_01331","CG56_03199","T268_95_04727","BM37_95_00194","AV25_95_03057","CG78_02353","CG78b_02116","CG678_02114","CG1103_00226","SF93_00695","V80_94_02951","AS1H41_02951","CG98_04341","NW221_03891","RF21_00694","T17_00805","S4_01353","Sz1b_02212","CG81_04800","CG474_01066","CG967_05400","CG1118_05278"
"g010333_000004","g010333","nuoI","NADH-quinone oxidoreductase subunit I",90,6,311,1,1,1,0,0,0,0,311,"NADH-quinone oxidoreductase subunit I(311)","nuoI(311)",489,492,491.97,30,3,"F2_5_01332","CG56_03198","T268_95_04728","BM37_95_00195","AV25_95_03058","CG78_02354","CG78b_02117","CG678_02115","CG1103_00225","SF93_00696","V80_94_02952","AS1H41_02952","CG98_04340","NW221_03892","RF21_00695","T17_00804","S4_01354","Sz1b_02213","CG81_04799","CG474_01065","CG967_05399","CG1118_05277"
"g004594_000003","g004594","nuoJ","NADH-quinone oxidoreductase subunit J",80,17,311,1,1,1,0,0,0,0,311,"NADH-quinone oxidoreductase subunit J(310):hypothetical protein(1)","nuoJ(310):NA(1)",615,750,615.43,30,4,"F2_5_01333","CG56_03197","T268_95_04729","BM37_95_00196","AV25_95_03059","CG78_02355","CG78b_02118","CG678_02116","CG1103_00224","SF93_00697","V80_94_02953","AS1H41_02953","CG98_04339","NW221_03893","RF21_00696","T17_00803","S4_01355","Sz1b_02214","CG81_04798","CG474_01064","CG967_05398","CG1118_05276"
"g007811_000004","g007811",NA,"NADH-quinone oxidoreductase subunit 11",90,9,311,1,1,1,0,0,0,0,311,"NADH-quinone oxidoreductase subunit 11(311)","NA(311)",309,309,309,30,5,"F2_5_01334","CG56_03196","T268_95_04730","BM37_95_00197","AV25_95_03060","CG78_02356","CG78b_02119","CG678_02117","CG1103_00223","SF93_00698","V80_94_02954","AS1H41_02954","CG98_04338","NW221_03894","RF21_00697","T17_00802","S4_01356","Sz1b_02215","CG81_04797","CG474_01063","CG967_05397","CG1118_05275"
"g004047_000003","g004047","nuoL","NADH-quinone oxidoreductase subunit L",80,17,311,1,1,1,1,0,1,0,311,"NADH-quinone oxidoreductase subunit L(311):hypothetical protein(1)","nuoL(311):NA(1)",465,2004,1989.99,30,6,"F2_5_01335","CG56_03195","T268_95_04731","BM37_95_00198","AV25_95_03061","CG78_02357","CG78b_02120","CG678_02118","CG1103_00222","SF93_00699","V80_94_02955","AS1H41_02955","CG98_04337","NW221_03895","RF21_00698","T17_00801","S4_01357","Sz1b_02216","CG81_04796","CG474_01062","CG967_05396","CG1118_05274"
"g002724","g002724","lptA","Lipopolysaccharide export system protein LptA",50,26,311,1,1,1,1,0,1,0,311,"Lipopolysaccharide export system protein LptA(311):hypothetical protein(1)","lptA(311):NA(1)",174,681,589.82,31,1,"F2_5_04295","CG56_04013","T268_95_04421","BM37_95_05401","AV25_95_04573","CG78_03288","CG78b_04273","CG678_04271","CG1103_03612","SF93_03577","V80_94_04190","AS1H41_04190","CG98_05283","NW221_03057","RF21_00366","T17_02915","S4_00334","Sz1b_03056","CG81_01011","CG474_01701","CG967_04146","CG1118_00045"
"g003276_000003","g003276","lptB","Lipopolysaccharide export system ATP-binding protein LptB",80,24,311,1,1,1,0,0,0,0,311,"Lipopolysaccharide export system ATP-binding protein LptB(311)","lptB(311)",648,876,809.33,31,2,"F2_5_04294","CG56_04014","T268_95_04420","BM37_95_05400","AV25_95_04572","CG78_03287","CG78b_04272","CG678_04270","CG1103_03611","SF93_03576","V80_94_04189","AS1H41_04189","CG98_05282","NW221_03056","RF21_00365","T17_02916","S4_00333","Sz1b_03057","CG81_01012","CG474_01702","CG967_04147","CG1118_00044"
"g001323_000001","g001323","rpoN2","RNA polymerase sigma-54 factor 2",60,37,311,1,1,1,0,0,0,0,311,"RNA polymerase sigma-54 factor 2(311)","rpoN2(311)",1503,1641,1562.9,31,3,"F2_5_04293","CG56_04015","T268_95_04419","BM37_95_05399","AV25_95_04571","CG78_03286","CG78b_04271","CG678_04269","CG1103_03610","SF93_03575","V80_94_04188","AS1H41_04188","CG98_05281","NW221_03055","RF21_00364","T17_02917","S4_00332","Sz1b_03058","CG81_01013","CG474_01703","CG967_04148","CG1118_00043"
"g003080_000002","g003080","hpf","Ribosome hibernation promotion factor",70,25,311,1,1,1,1,0,1,0,311,"Ribosome hibernation promotion factor(292):hypothetical protein(20)","hpf(292):NA(20)",129,582,572.28,31,4,"F2_5_04291","CG56_04017","T268_95_04417","BM37_95_05397","AV25_95_04569","CG78_03284","CG78b_04269","CG678_04267","CG1103_03608","SF93_03573","V80_94_04186","AS1H41_04186","CG98_05279","NW221_03053","RF21_00362","T17_02919","S4_00330","Sz1b_03060","CG81_01015","CG474_01705","CG967_04150","CG1118_00041"
"g005849_000003","g005849","ptsN","Nitrogen regulatory protein",80,13,311,1,1,1,0,0,0,0,311,"Nitrogen regulatory protein(311)","ptsN(311)",291,465,462.76,31,5,"F2_5_04290","CG56_04018","T268_95_04416","BM37_95_05396","AV25_95_04568","CG78_03283","CG78b_04268","CG678_04266","CG1103_03607","SF93_03572","V80_94_04185","AS1H41_04185","CG98_05278","NW221_03052","RF21_00361","T17_02920","S4_00329","Sz1b_03061","CG81_01016","CG474_01706","CG967_04151","CG1118_00040"
"g001283_1_000003","g001283_1","grpE","Protein GrpE",70,33,311,1,1,1,0,0,0,0,311,"Protein GrpE(311)","grpE(311)",615,651,630.95,31,6,"F2_5_04289","CG56_04019","T268_95_04415","BM37_95_05395","AV25_95_04567","CG78_03282","CG78b_04267","CG678_04265","CG1103_03606","SF93_03571","V80_94_04184","AS1H41_04184","CG98_05277","NW221_03051","RF21_00360","T17_02921","S4_00328","Sz1b_03062","CG81_01017","CG474_01707","CG967_04152","CG1118_00039"
"g002727_000001","g002727","bamE","Outer membrane protein assembly factor BamE",60,26,311,1,1,1,0,0,0,0,311,"Outer membrane protein assembly factor BamE(165):hypothetical protein(146)","bamE(165):NA(146)",489,693,542.42,32,1,"F2_5_00997","CG56_03261","T268_95_04632","BM37_95_00099","AV25_95_02997","CG78_02281","CG78b_02044","CG678_02042","CG1103_00298","SF93_05510","V80_94_02891","AS1H41_02891","CG98_04436","NW221_04520","RF21_04982","T17_01350","S4_01275","Sz1b_02140","CG81_05161","CG474_04452","CG967_05459","CG1118_01019"
"g001133_000001","g001133",NA,"hypothetical protein",60,39,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",537,558,546.95,32,2,"F2_5_00998","CG56_03260","T268_95_04633","BM37_95_00100","AV25_95_02998","CG78_02282","CG78b_02045","CG678_02043","CG1103_00297","SF93_05511","V80_94_02892","AS1H41_02892","CG98_04435","NW221_04521","RF21_04981","T17_01351","S4_01276","Sz1b_02141","CG81_05162","CG474_04453","CG967_05458","CG1118_01018"
"g001562_000001","g001562",NA,"hypothetical protein",60,35,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",540,567,562.32,32,3,"F2_5_00999","CG56_03259","T268_95_04634","BM37_95_00101","AV25_95_02999","CG78_02283","CG78b_02046","CG678_02044","CG1103_00296","SF93_05512","V80_94_02893","AS1H41_02893","CG98_04434","NW221_04522","RF21_04980","T17_01352","S4_01277","Sz1b_02142","CG81_05163","CG474_04454","CG967_05457","CG1118_01017"
"g001728_000002","g001728","plsX","Phosphate acyltransferase",70,34,311,1,1,1,309,0,309,0,311,"Phosphate acyltransferase(311):3-oxoacyl-[acyl-carrier-protein] synthase 3(309)","plsX(311):fabH(309)",921,2037,1017.5,32,4,"(F2_5_01000:F2_5_01001)","(CG56_03257:CG56_03258)","(T268_95_04635:T268_95_04636)","(BM37_95_00102:BM37_95_00103)","(AV25_95_03000:AV25_95_03001)","(CG78_02284:CG78_02285)","(CG78b_02047:CG78b_02048)","(CG678_02045:CG678_02046)","(CG1103_00294:CG1103_00295)","(SF93_05513:SF93_05514)","(V80_94_02894:V80_94_02895)","(AS1H41_02894:AS1H41_02895)","(CG98_04432:CG98_04433)","(NW221_04523:NW221_04524)","(RF21_04978:RF21_04979)","(T17_01353:T17_01354)","(S4_01278:S4_01279)","(Sz1b_02143:Sz1b_02144)","(CG81_05164:CG81_05165)","(CG474_04455:CG474_04456)","(CG967_05455:CG967_05456)","(CG1118_01015:CG1118_01016)"
"g006162_1_000004","g006162_1","ihfA","Integration host factor subunit alpha",80,10,311,1,1,1,0,0,0,0,311,"Integration host factor subunit alpha(311)","ihfA(311)",324,411,335.6,32,5,"F2_5_01002","CG56_03256","T268_95_04637","BM37_95_00104","AV25_95_03002","CG78_02286","CG78b_02049","CG678_02047","CG1103_00293","SF93_05515","V80_94_02896","AS1H41_02896","CG98_04431","NW221_04525","RF21_04977","T17_01355","S4_01280","Sz1b_02145","CG81_05166","CG474_04457","CG967_05454","CG1118_01014"
"g003764_000002","g003764",NA,"hypothetical protein",70,21,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",528,546,538.46,32,6,"F2_5_01003","CG56_03255","T268_95_04638","BM37_95_00105","AV25_95_03003","CG78_02287","CG78b_02050","CG678_02048","CG1103_00292","SF93_05516","V80_94_02897","AS1H41_02897","CG98_04430","NW221_04526","RF21_04976","T17_01356","S4_01281","Sz1b_02146","CG81_05167","CG474_04458","CG967_05453","CG1118_01013"
"g003176_000002","g003176","ycjX","putative protein YcjX",70,24,311,1,1,1,0,0,0,0,311,"putative protein YcjX(311)","ycjX(311)",1470,1551,1479.74,33,1,"F2_5_04731","CG56_02429","T268_95_01221","BM37_95_04107","AV25_95_05235","CG78_04025","CG78b_03785","CG678_03784","CG1103_02839","SF93_02715","V80_94_05348","AS1H41_05348","CG98_05578","NW221_00384","RF21_03398","T17_00087","S4_01941","Sz1b_04053","CG81_05335","CG474_02384","CG967_05078","CG1118_03106"
"g001218_000001","g001218",NA,"hypothetical protein",60,40,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",894,1101,1084.18,33,2,"F2_5_04732","CG56_02430","T268_95_01222","BM37_95_04108","AV25_95_05236","CG78_04026","CG78b_03786","CG678_03785","CG1103_02838","SF93_02714","V80_94_05349","AS1H41_05349","CG98_05577","NW221_00383","RF21_03399","T17_00088","S4_01942","Sz1b_04052","CG81_05334","CG474_02385","CG967_05079","CG1118_03105"
"g002895_000001","g002895",NA,"hypothetical protein",60,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",543,561,556.04,33,3,"F2_5_04733","CG56_02431","T268_95_01223","BM37_95_04109","AV25_95_05237","CG78_04027","CG78b_03787","CG678_03786","CG1103_02837","SF93_02713","V80_94_05350","AS1H41_05350","CG98_05576","NW221_00382","RF21_03400","T17_00089","S4_01943","Sz1b_04051","CG81_05333","CG474_02386","CG967_05080","CG1118_03104"
"g000180_000001","g000180","folK","hypothetical protein",60,72,311,1,1,1,0,0,0,0,311,"hypothetical protein(193):2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase(118)","NA(193):folK(118)",261,552,530.57,33,4,"F2_5_04597","CG56_02249","T268_95_05133","BM37_95_03908","AV25_95_03464","CG78_03823","CG78b_03582","CG678_03581","CG1103_03042","SF93_02896","V80_94_03358","AS1H41_03358","CG98_05145","NW221_05021","RF21_03218","T17_04713","S4_01761","Sz1b_04256","CG81_01977","CG474_02246","CG967_04954","CG1118_02954"
"g003796_000001","g003796","folB","Dihydroneopterin aldolase",60,21,311,1,1,1,0,0,0,0,311,"Dihydroneopterin aldolase(311)","folB(311)",363,372,365.9,33,5,"F2_5_04596","CG56_02248","T268_95_05132","BM37_95_03907","AV25_95_03463","CG78_03822","CG78b_03581","CG678_03580","CG1103_03043","SF93_02897","V80_94_03357","AS1H41_03357","CG98_05144","NW221_05020","RF21_03217","T17_04712","S4_01760","Sz1b_04257","CG81_01978","CG474_02245","CG967_04953","CG1118_02953"
"g000535_000001","g000535","folP","Dihydropteroate synthase",60,54,311,1,1,1,0,0,0,0,311,"Dihydropteroate synthase(311)","folP(311)",777,951,859.69,33,6,"F2_5_04595","CG56_02247","T268_95_05131","BM37_95_03906","AV25_95_03462","CG78_03821","CG78b_03580","CG678_03579","CG1103_03044","SF93_02898","V80_94_03356","AS1H41_03356","CG98_05143","NW221_05019","RF21_03216","T17_04711","S4_01759","Sz1b_04258","CG81_01979","CG474_02244","CG967_04952","CG1118_02952"
"g002372_000002","g002372","gppA","Guanosine-5'-triphosphate%2C3'-diphosphate pyrophosphatase",70,27,311,1,1,1,1,0,1,0,311,"Guanosine-5'-triphosphate%2C3'-diphosphate pyrophosphatase(311):hypothetical protein(1)","gppA(311):NA(1)",249,1524,1516.86,34,1,"F2_5_00964","CG56_03294","T268_95_04600","BM37_95_00067","AV25_95_02905","CG78_02250","CG78b_02013","CG678_02011","CG1103_00329","SF93_05478","V80_94_01062","AS1H41_01062","CG98_04468","NW221_04489","RF21_05014","T17_01318","S4_01243","Sz1b_02109","CG81_05129","CG474_04420","CG967_05492","CG1118_01051"
"g003643_000003","g003643","ppk","Polyphosphate kinase",80,21,311,1,1,1,1,0,1,0,311,"Polyphosphate kinase(312)","ppk(312)",522,2301,2221.2,34,2,"F2_5_00963","CG56_03295","T268_95_04599","BM37_95_00066","AV25_95_02904","CG78_02249","CG78b_02012","CG678_02010","CG1103_00330","SF93_05477","V80_94_01061","AS1H41_01061","CG98_04469","NW221_04488","RF21_05015","T17_01317","S4_01242","Sz1b_02108","CG81_05128","CG474_04419","CG967_05493","CG1118_01052"
"g001149_000001","g001149","dnaA","hypothetical protein",60,40,311,1,1,1,0,0,0,0,311,"hypothetical protein(309):Chromosomal replication initiator protein DnaA(2)","NA(309):dnaA(2)",714,735,722.63,34,3,"F2_5_00962","CG56_03296","T268_95_04598","BM37_95_00065","AV25_95_02903","CG78_02248","CG78b_02011","CG678_02009","CG1103_00331","SF93_05476","V80_94_01060","AS1H41_01060","CG98_04470","NW221_04487","RF21_05016","T17_01316","S4_01241","Sz1b_02107","CG81_05127","CG474_04418","CG967_05494","CG1118_01053"
"g002667_000002","g002667","yhhT","Putative transport protein",70,27,311,1,1,1,0,0,0,0,311,"Putative transport protein(249):Putative transport protein YhhT(54):hypothetical protein(8)","NA(257):yhhT(54)",1122,1278,1146.88,34,4,"F2_5_00961","CG56_03297","T268_95_04597","BM37_95_00064","AV25_95_02902","CG78_02247","CG78b_02010","CG678_02008","CG1103_00332","SF93_05475","V80_94_01059","AS1H41_01059","CG98_04471","NW221_04486","RF21_05017","T17_01315","S4_01240","Sz1b_02106","CG81_05126","CG474_04417","CG967_05495","CG1118_01054"
"g004109_000003","g004109","purM","Phosphoribosylformylglycinamidine cyclo-ligase",80,19,311,1,1,1,0,0,0,0,311,"Phosphoribosylformylglycinamidine cyclo-ligase(311)","purM(311)",465,1152,1072.29,34,5,"F2_5_00960","CG56_03298","T268_95_04596","BM37_95_00063","AV25_95_02901","CG78_02246","CG78b_02009","CG678_02007","CG1103_00333","SF93_05474","V80_94_01058","AS1H41_01058","CG98_04472","NW221_04485","RF21_05018","T17_01314","S4_01239","Sz1b_02105","CG81_05125","CG474_04416","CG967_05496","CG1118_01055"
"g000334_000001","g000334","purN","Phosphoribosylglycinamide formyltransferase",60,61,311,1,1,1,0,0,0,0,311,"Phosphoribosylglycinamide formyltransferase(311)","purN(311)",501,690,676.06,34,6,"F2_5_00959","CG56_03299","T268_95_04595","BM37_95_00062","AV25_95_02900","CG78_02245","CG78b_02008","CG678_02006","CG1103_00334","SF93_05473","V80_94_01057","AS1H41_01057","CG98_04473","NW221_04484","RF21_05019","T17_01313","S4_01238","Sz1b_02104","CG81_05124","CG474_04415","CG967_05497","CG1118_01056"
"g001987_000002","g001987","hisZ","ATP phosphoribosyltransferase regulatory subunit",70,32,311,1,1,1,0,0,0,0,311,"ATP phosphoribosyltransferase regulatory subunit(311)","hisZ(311)",1119,1149,1123.61,35,1,"F2_5_05248","CG56_03592","T268_95_02468","BM37_95_02142","AV25_95_04943","CG78_04902","CG78b_00839","CG678_00838","CG1103_01161","SF93_01454","V80_94_04568","AS1H41_04568","CG98_04888","NW221_03380","RF21_01210","T17_01362","S4_04161","Sz1b_00839","CG81_00100","CG474_00002","CG967_02164","CG1118_04113"
"g002305_000003","g002305","hisG","ATP phosphoribosyltransferase",80,30,311,1,1,1,0,0,0,0,311,"ATP phosphoribosyltransferase(311)","hisG(311)",693,714,698.59,35,2,"F2_5_05247","CG56_03591","T268_95_02467","BM37_95_02141","AV25_95_04942","CG78_04903","CG78b_00838","CG678_00837","CG1103_01162","SF93_01455","V80_94_04567","AS1H41_04567","CG98_04887","NW221_03381","RF21_01211","T17_01361","S4_04160","Sz1b_00838","CG81_00101","CG474_00003","CG967_02165","CG1118_04112"
"g001228_000001","g001228","yqjF","Inner membrane protein YqjF",60,40,311,1,1,1,0,0,0,0,311,"Inner membrane protein YqjF(310):hypothetical protein(1)","yqjF(310):NA(1)",204,450,445.47,35,3,"F2_5_05246","CG56_03597","T268_95_02466","BM37_95_02140","AV25_95_04941","CG78_04905","CG78b_00836","CG678_00835","CG1103_04295","SF93_01456","V80_94_04566","AS1H41_04566","CG98_04057","NW221_03489","RF21_04035","T17_04130","S4_04159","Sz1b_00836","CG81_00102","CG474_00004","CG967_02166","CG1118_04111"
"g001205_000001","g001205","yutF","hypothetical protein",60,40,311,1,1,1,0,0,0,0,311,"hypothetical protein(292):D%2CL-glycerol 3-phosphate phosphatase(12):Acid sugar phosphatase(7)","NA(304):yutF(7)",849,933,850.57,35,4,"F2_5_05271","CG56_02959","T268_95_02497","BM37_95_02171","AV25_95_04971","CG78_04877","CG78b_00864","CG678_00863","CG1103_01136","SF93_01428","V80_94_04596","AS1H41_04596","CG98_03722","NW221_03355","RF21_01184","T17_01388","S4_04187","Sz1b_01557","CG81_00074","CG474_01554","CG967_02138","CG1118_04139"
"g001657_1_000003","g001657_1","ribF","Riboflavin biosynthesis protein RibF",70,34,311,1,1,1,0,0,0,0,311,"Riboflavin biosynthesis protein RibF(311)","ribF(311)",894,984,981.13,35,5,"F2_5_05270","CG56_02960","T268_95_02496","BM37_95_02170","AV25_95_04970","CG78_04878","CG78b_00863","CG678_00862","CG1103_01137","SF93_01429","V80_94_04595","AS1H41_04595","CG98_03721","NW221_03356","RF21_01185","T17_01387","S4_04186","Sz1b_01556","CG81_00075","CG474_01555","CG967_02139","CG1118_04138"
"g000246_000003","g000246","ileS","Isoleucine--tRNA ligase",80,68,311,1,1,1,1,0,1,0,311,"Isoleucine--tRNA ligase(312)","ileS(312)",1263,3054,2914.41,35,6,"F2_5_05267","CG56_02967","T268_95_02489","BM37_95_02163","AV25_95_04963","CG78_04885","CG78b_00856","CG678_00855","CG1103_01144","SF93_01436","V80_94_04588","AS1H41_04588","CG98_03714","NW221_03363","RF21_01192","T17_01380","S4_04179","Sz1b_01549","CG81_00082","CG474_01562","CG967_02146","CG1118_04131"
"g001497","g001497",NA,"hypothetical protein",50,37,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",303,399,387.19,36,1,"F2_5_03692","CG56_00682","T268_95_03864","BM37_95_04845","AV25_95_03611","CG78_00776","CG78b_04584","CG678_04580","CG1103_04137","SF93_04606","V80_94_03590","AS1H41_03590","CG98_02180","NW221_00596","RF21_03866","T17_00282","S4_03262","Sz1b_03629","CG81_00810","CG474_04814","CG967_01149","CG1118_02159"
"g002573_000002","g002573","atpH","ATP synthase subunit delta",70,28,311,1,1,1,0,0,0,0,311,"ATP synthase subunit delta(311)","atpH(311)",552,657,566.99,36,2,"F2_5_03691","CG56_00681","T268_95_03863","BM37_95_04844","AV25_95_03610","CG78_00775","CG78b_04583","CG678_04579","CG1103_04138","SF93_04607","V80_94_03589","AS1H41_03589","CG98_02181","NW221_00595","RF21_03867","T17_00283","S4_03261","Sz1b_03628","CG81_00809","CG474_04813","CG967_01148","CG1118_02160"
"g007359_000004","g007359","atpA","ATP synthase subunit alpha",90,9,311,1,1,1,0,0,0,0,311,"ATP synthase subunit alpha(311)","atpA(311)",1527,1530,1529.52,36,3,"F2_5_03690","CG56_00680","T268_95_03862","BM37_95_04843","AV25_95_03609","CG78_00774","CG78b_04582","CG678_04578","CG1103_04139","SF93_04608","V80_94_03588","AS1H41_03588","CG98_02182","NW221_00594","RF21_03868","T17_00284","S4_03260","Sz1b_03627","CG81_00808","CG474_04812","CG967_01147","CG1118_02161"
"g003783_000003","g003783","atpG","ATP synthase gamma chain",80,21,311,1,1,1,0,0,0,0,311,"ATP synthase gamma chain(311)","atpG(311)",879,885,881.08,36,4,"F2_5_03689","CG56_00679","T268_95_03861","BM37_95_04842","AV25_95_03608","CG78_00773","CG78b_04581","CG678_04577","CG1103_04140","SF93_04609","V80_94_03587","AS1H41_03587","CG98_02183","NW221_00593","RF21_03869","T17_00285","S4_03259","Sz1b_03626","CG81_00807","CG474_04811","CG967_01146","CG1118_02162"
