"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","CG108","CG118","CG989","CG1013","T393_94","Rr4","CG47","Ni1","T60_94","T267_94","P86_93","AB4","CG964","CG49"
"g002157_000001","g002157","minC","Septum site-determining protein MinC",60,31,309,1,1,1,0,0,0,0,309,"Septum site-determining protein MinC(309)","minC(309)",726,888,747.49,767,1,"CG108_00484","CG118_00485","CG989_00227","CG1013_02504","T393_94_02019","Rr4_03824","CG47_02075","Ni1_02822","T60_94_00295","T267_94_02266","P86_93_02265","AB4_01538","CG964_03854","CG49_02015"
"g006181_000003","g006181","secE","Protein translocase subunit SecE",80,9,309,1,1,1,0,0,0,0,309,"Protein translocase subunit SecE(309)","secE(309)",201,201,201,768,1,"CG108_05189","CG118_00916","CG989_01158","CG1013_03238","T393_94_02441","Rr4_01831","CG47_04283","Ni1_00663","T60_94_02817","T267_94_04461","P86_93_02687","AB4_04958","CG964_00934","CG49_05370"
"g003204_000002","g003204",NA,"hypothetical protein",70,24,309,1,1,1,0,0,0,0,309,"hypothetical protein(309)","NA(309)",588,687,617.78,769,1,"CG108_00504","CG118_00505","CG989_00206","CG1013_02524","T393_94_02039","Rr4_03804","CG47_02095","Ni1_02842","T60_94_00315","T267_94_02286","P86_93_02285","AB4_01518","CG964_03874","CG49_02035"
"g000361_000002","g000361","cmpC","Bicarbonate transport ATP-binding protein CmpC",70,60,309,1,1,1,0,0,0,0,309,"Bicarbonate transport ATP-binding protein CmpC(174):Nitrate transport protein NrtA(134):hypothetical protein(1)","cmpC(174):nrtA(134):NA(1)",549,1299,1278.69,770,1,"CG108_02511","CG118_05077","CG989_05230","CG1013_01691","T393_94_03063","Rr4_04920","CG47_01737","Ni1_01349","T60_94_02759","T267_94_03318","P86_93_03332","AB4_00622","CG964_04837","CG49_00583"
"g002168","g002168","ygaV","hypothetical protein",50,31,309,1,1,1,0,0,0,0,309,"hypothetical protein(306):putative HTH-type transcriptional regulator YgaV(3)","NA(306):ygaV(3)",291,336,302.85,771,1,"CG108_00244","CG118_00245","CG989_00467","CG1013_01420","T393_94_01770","Rr4_02174","CG47_02537","Ni1_04973","T60_94_00046","T267_94_02017","P86_93_02016","AB4_01076","CG964_03605","CG49_02456"
"g002886_000002","g002886","rhtB","Homoserine/homoserine lactone efflux protein",70,25,309,1,1,1,2,0,2,0,309,"Homoserine/homoserine lactone efflux protein(307):hypothetical protein(4)","rhtB(307):NA(4)",231,675,614.65,772,1,"CG108_01651","CG118_04323","CG989_03662","CG1013_03505","T393_94_04711","Rr4_02736","CG47_03010","Ni1_04785","T60_94_05143","T267_94_04726","P86_93_05044","AB4_02468","CG964_04305","CG49_03640"
"g000423_000002","g000423",NA,"hypothetical protein",70,58,309,1,1,1,0,0,0,0,309,"hypothetical protein(309)","NA(309)",201,279,214.37,773,1,"CG108_04217","CG118_03509","CG989_04291","CG1013_00864","T393_94_01117","Rr4_00304","CG47_01715","Ni1_01159","T60_94_01600","T267_94_01427","P86_93_01427","AB4_00423","CG964_01600","CG49_01307"
"g000112","g000112",NA,"hypothetical protein",50,80,309,1,1,1,4,0,4,0,309,"hypothetical protein(313)","NA(313)",228,591,565.1,774,1,"CG108_02665","CG118_01395","CG989_00087","CG1013_02656","T393_94_02171","Rr4_03531","CG47_02227","Ni1_02974","T60_94_00447","T267_94_02418","P86_93_02417","AB4_01386","CG964_01927","CG49_02167"
"g001014","g001014","iolB","5-deoxy-glucuronate isomerase",50,43,309,1.08,1,2,0,24,0,24,333,"5-deoxy-glucuronate isomerase(333)","iolB(333)",741,1044,810.91,775,1,"CG108_01218","CG118_04103","CG989_03977","CG1013_01550;CG1013_04767","T393_94_01591","Rr4_03387","CG47_03352","Ni1_00008","T60_94_02013","T267_94_01836","P86_93_01837","AB4_02127","CG964_04526","CG49_01000"
"g000119_000001","g000119","purU","Formyltetrahydrofolate deformylase",60,77,309,1.94,1,5,2,210,2,292,601,"Formyltetrahydrofolate deformylase(603)","purU(603)",144,1038,836.26,776,1,"CG108_02993","CG118_02010","CG989_02738","CG1013_01353","T393_94_01429","Rr4_01079","CG47_01894","Ni1_01391","T60_94_01913","T267_94_01738","P86_93_01739","AB4_00720","CG964_02106","CG49_01563"
"g002370_000003","g002370","garB","Glutathione amide reductase",80,29,309,1,1,1,0,0,0,0,309,"Glutathione amide reductase(309)","garB(309)",1386,1434,1388.23,777,1,"CG108_03515","CG118_03098","CG989_03365","CG1013_00120","T393_94_00054","Rr4_01246","CG47_00054","Ni1_01522","T60_94_01086","T267_94_00054","P86_93_00054","AB4_00795","CG964_00691","CG49_03364"
"g000818","g000818","oprF","hypothetical protein",50,45,309,1,1,2,1,1,1,1,310,"hypothetical protein(310):Outer membrane porin F(1)","NA(310):oprF(1)",552,2637,2347.22,778,1,"CG108_03062","CG118_03112","CG989_03379","CG1013_00106","T393_94_00040","Rr4_01232","CG47_00040","Ni1_01508","T60_94_01072","T267_94_00040","P86_93_00040","AB4_00781","CG964_00705","CG49_03378"
"g001996_000003","g001996",NA,"hypothetical protein",80,31,309,1,1,2,0,1,0,1,310,"hypothetical protein(310)","NA(310)",894,987,947.12,779,1,"CG108_01451","CG118_01553","CG989_00807","CG1013_02812","T393_94_02327","Rr4_03687","CG47_02383","Ni1_03130","T60_94_00603","T267_94_02574","P86_93_02573","AB4_01230","CG964_01318","CG49_02322"
"g002914_1_000001","g002914_1","mcbR","HTH-type transcriptional regulator McbR",60,24,309,1,1,1,0,0,0,0,309,"HTH-type transcriptional regulator McbR(109):hypothetical protein(105):putative D-xylose utilization operon transcriptional repressor(88):HTH-type transcriptional repressor RspR(7)","mcbR(109):NA(105):gntR(88):rspR(7)",669,849,698.32,780,1,"CG108_04957","CG118_03724","CG989_05313","CG1013_04205","T393_94_04366","Rr4_05289","CG47_04018","Ni1_04162","T60_94_04016","T267_94_03902","P86_93_03919","AB4_04326","CG964_04085","CG49_05037"
"g000290","g000290",NA,"hypothetical protein",50,65,309,1.27,1,3,3,82,3,84,393,"hypothetical protein(396)","NA(396)",480,1080,760.24,781,1,"(CG108_03386:CG108_04535)","(CG118_02969:CG118_04951)","(CG989_03236:CG989_04924)","CG1013_00434","T393_94_00368","Rr4_01561","CG47_00371","Ni1_01837","T60_94_02964","T267_94_00299","P86_93_00372","AB4_02991","CG964_00377","CG49_03048"
"g000333_000001","g000333","rutB","Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB",60,62,309,1,1,2,0,1,0,1,310,"Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB(179):hypothetical protein(131)","rutB(179):NA(131)",558,594,567.79,782,1,"CG108_00147","CG118_00147","CG989_00565","CG1013_00859","T393_94_00793","Rr4_01968","CG47_00805","Ni1_02326","T60_94_03390","T267_94_00802","P86_93_00799","AB4_01954","CG964_00004","CG49_04909"
"g001709_000001","g001709",NA,"putative protein",60,35,309,1,1,1,0,0,0,0,309,"putative protein(309)","NA(309)",813,828,820.21,783,1,"CG108_00422","CG118_00423","CG989_00289","CG1013_02444","T393_94_01958","Rr4_02088","CG47_02014","Ni1_02761","T60_94_00234","T267_94_02205","P86_93_02204","AB4_01598","CG964_03794","CG49_01954"
"g001044","g001044",NA,"hypothetical protein",50,41,309,1,1,1,1,0,1,0,309,"hypothetical protein(310)","NA(310)",330,1785,1663.39,784,1,"CG108_04214","CG118_03506","CG989_04288","CG1013_04388","T393_94_05155","Rr4_01190","CG47_02005","Ni1_04640","T60_94_05587","T267_94_05554","P86_93_05486","AB4_00954","CG964_04814","CG49_01752"
"g003376_000001","g003376","sbp","Sulfate-binding protein",60,23,309,1,1,1,0,0,0,0,309,"Sulfate-binding protein(309)","sbp(309)",1017,1155,1031.56,785,1,"CG108_02179","CG118_02319","CG989_02379","CG1013_02108","T393_94_02647","Rr4_04703","CG47_00759","Ni1_00210","T60_94_02281","T267_94_02901","P86_93_02916","AB4_03630","CG964_03067","CG49_00167"
"g001736","g001736","clsA","putative cardiolipin synthase YwiE",50,34,309,1,1,1,0,0,0,0,309,"putative cardiolipin synthase YwiE(143):Cardiolipin synthase A(111):Major cardiolipin synthase ClsA(55)","clsA(166):ywiE(143)",1449,1578,1465.04,786,1,"CG108_00110","CG118_00110","CG989_00602","CG1013_00819","T393_94_00753","Rr4_01928","CG47_00845","Ni1_02366","T60_94_03350","T267_94_00762","P86_93_00759","AB4_01994","CG964_00044","CG49_04869"
"g001154_000003","g001154","trmFO","Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO",80,35,309,1,1,1,0,0,0,0,309,"Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO(309)","trmFO(309)",1377,1716,1453.53,787,1,"CG108_02835","CG118_01956","CG989_02701","CG1013_00583","T393_94_00518","Rr4_01711","CG47_00521","Ni1_01987","T60_94_03114","T267_94_00449","P86_93_00522","AB4_03141","CG964_00228","CG49_04631"
"g001150_1_000003","g001150_1","ligA","DNA ligase",70,38,309,1,1,1,0,0,0,0,309,"DNA ligase(309)","ligA(309)",1905,2433,2170.73,788,1,"CG108_00108","CG118_00108","CG989_00604","CG1013_00817","T393_94_00751","Rr4_01926","CG47_00847","Ni1_02368","T60_94_03348","T267_94_00760","P86_93_00757","AB4_02071","CG964_00046","CG49_04867"
"g001380_000002","g001380",NA,"hypothetical protein",70,37,309,1,1,1,0,0,0,0,309,"hypothetical protein(309)","NA(309)",210,345,220.35,789,1,"CG108_00070","CG118_00070","CG989_00642","CG1013_00779","T393_94_00713","Rr4_00999","CG47_00885","Ni1_02129","T60_94_03310","T267_94_00722","P86_93_00719","AB4_03284","CG964_00084","CG49_04829"
"g002594_000001","g002594","rnpA","Ribonuclease P protein component",60,28,309,1,1,1,0,0,0,0,309,"Ribonuclease P protein component(242):hypothetical protein(67)","rnpA(242):NA(67)",195,414,348.63,790,1,"CG108_02732","CG118_04398","CG989_03587","CG1013_03579","T393_94_04785","Rr4_02662","CG47_02936","Ni1_04859","T60_94_05217","T267_94_04800","P86_93_05118","AB4_02542","CG964_01241","CG49_03715"
"g001151_1_000002","g001151_1","yihS","Sulfoquinovose isomerase",70,36,309,1.01,1,2,1,2,1,2,311,"Sulfoquinovose isomerase(312)","yihS(311):NA(1)",567,2487,1251.68,791,1,"CG108_00182","CG118_00182","CG989_00530","CG1013_01638","T393_94_01679","Rr4_03069","CG47_02721","Ni1_02632","T60_94_02101","T267_94_01926","P86_93_01925","AB4_02025","CG964_02800","CG49_02846"
"g000575_000001","g000575","dhfrIII","IS1595 family transposase ISSsu9",60,53,309,1,1,1,0,0,0,0,309,"IS1595 family transposase ISSsu9(286):Dihydrofolate reductase type 3(23)","NA(286):dhfrIII(23)",216,555,519.76,792,1,"CG108_00064","CG118_00064","CG989_00648","CG1013_00772","T393_94_00706","Rr4_00992","CG47_00892","Ni1_02122","T60_94_03303","T267_94_00715","P86_93_00712","AB4_03277","CG964_00091","CG49_04822"
"g000063_1_000004","g000063_1","gbpR","HTH-type transcriptional regulator GbpR",70,28,309,1.02,1,2,41,5,41,5,314,"HTH-type transcriptional regulator GbpR(309):Beta-ketoadipyl-CoA thiolase(44):3-ketoacyl-CoA thiolase(2)","gbpR(309):pcaF(44):fadA(2)",840,1533,970.34,793,1,"CG108_03947","CG118_04548","CG989_04519","CG1013_03813","T393_94_03972","Rr4_04176","CG47_03470","Ni1_03919","T60_94_04746","T267_94_05030","P86_93_04648","AB4_04720","CG964_03474","CG49_04322"
"g000526","g000526",NA,"hypothetical protein",50,53,309,1,1,1,2,0,2,0,309,"hypothetical protein(311)","NA(311)",171,1395,1091.2,794,1,"CG108_01062","CG118_03358","CG989_04140","CG1013_04545","T393_94_04998","Rr4_00180","CG47_01282","Ni1_04483","T60_94_05430","T267_94_05397","P86_93_05329","AB4_05197","CG964_04656","CG49_01864"
"g001012_000001","g001012","allE","(S)-ureidoglycine aminohydrolase",60,42,309,1.02,1,3,2,6,2,7,316,"(S)-ureidoglycine aminohydrolase(312):hypothetical protein(6)","allE(312):NA(6)",183,837,809.17,795,1,"CG108_03835","CG118_04660","CG989_04631","CG1013_03908","T393_94_04066","Rr4_04082","CG47_03564","Ni1_03825","T60_94_04840","T267_94_05124","P86_93_04742","AB4_04626","CG964_03380","CG49_04416"
"g001223_000001","g001223","mrpG","Na(+)/H(+) antiporter subunit G",60,39,309,1,1,1,0,0,0,0,309,"Na(+)/H(+) antiporter subunit G(308):hypothetical protein(1)","mrpG(308):NA(1)",234,366,346.76,796,1,"CG108_01936","CG118_00667","CG989_01770","CG1013_04351","T393_94_04513","Rr4_00499","CG47_03872","Ni1_04309","T60_94_04163","T267_94_04049","P86_93_04066","AB4_04179","CG964_03939","CG49_05183"
"g001935_1_000003","g001935_1","hcaC","3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit",80,32,309,1.02,1,2,0,7,0,7,316,"3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit(288):Assimilatory nitrite reductase [NAD(P)H] small subunit(25):hypothetical protein(3)","hcaC(288):nasE(25):NA(3)",330,348,335.72,797,1,"CG108_02516","CG118_05082","CG989_05225","CG1013_01696","T393_94_03058","Rr4_04925","CG47_01742","Ni1_01344","T60_94_02754","T267_94_03313","P86_93_03327","AB4_00617","CG964_04842","CG49_00578"
"g002016_000001","g002016","alx","Putative membrane-bound redox modulator Alx",60,27,309,1,1,1,1,0,1,0,309,"Putative membrane-bound redox modulator Alx(310)","alx(310)",342,1014,980.87,798,1,"CG108_05105","CG118_00832","CG989_01242","CG1013_03323","T393_94_03869","Rr4_02352","CG47_04198","Ni1_00578","T60_94_04642","T267_94_04546","P86_93_04545","AB4_05043","CG964_01019","CG49_05455"
"g002347","g002347","mprF","Phosphatidylglycerol lysyltransferase",50,27,309,1,1,1,2,0,2,0,309,"Phosphatidylglycerol lysyltransferase(308):hypothetical protein(3)","mprF(308):NA(3)",582,2640,2588.58,799,1,"CG108_00939","CG118_03235","CG989_04017","CG1013_04669","T393_94_04874","Rr4_03857","CG47_02743","Ni1_04359","T60_94_05306","T267_94_05273","P86_93_05205","AB4_05073","CG964_02853","CG49_02868"
"g001752","g001752",NA,"hypothetical protein",50,34,309,1,1,1,0,0,0,0,309,"hypothetical protein(309)","NA(309)",1260,1437,1320.94,800,1,"CG108_04785","CG118_03981","CG989_00990","CG1013_01189","T393_94_01264","Rr4_03198","CG47_03743","Ni1_02285","T60_94_01746","T267_94_01573","P86_93_01573","AB4_01796","CG964_02214","CG49_01454"
"g001083_000003","g001083","etfB","Electron transfer flavoprotein subunit beta",80,42,309,1.43,1,5,1,99,1,132,441,"Electron transfer flavoprotein subunit beta(441):Protein FixA(1)","etfB(441):fixA(1)",258,768,744.98,801,1,"CG108_00979","CG118_03275","CG989_04057","CG1013_04631","T393_94_04912","Rr4_00266","CG47_02781","Ni1_04397","T60_94_00860;T60_94_05344","T267_94_00954;T267_94_05311","P86_93_00951;P86_93_05243","AB4_05111","CG964_04570","CG49_02906"
"g000236_1_000007","g000236_1","folD","Bifunctional protein FolD protein",80,51,309,1.39,1,4,0,78,0,122,431,"Bifunctional protein FolD protein(431)","folD(431)",153,936,798.44,802,1,"CG108_04765","CG118_03961","CG989_01010","CG1013_01209","T393_94_01284","Rr4_03218","CG47_03763","Ni1_02265","T60_94_01766","T267_94_01593","P86_93_01593","AB4_01816","CG964_02194","CG49_01474"
"g001200_000001","g001200","chaC","Glutathione-specific gamma-glutamylcyclotransferase",60,40,309,1,1,1,0,0,0,0,309,"Glutathione-specific gamma-glutamylcyclotransferase(309)","chaC(309)",498,573,532.97,803,1,"CG108_00996","CG118_03292","CG989_04074","CG1013_04614","T393_94_04929","Rr4_00249","CG47_01213","Ni1_04414","T60_94_05361","T267_94_05328","P86_93_05260","AB4_05128","CG964_04587","CG49_02615"
"g000239_1_000005","g000239_1","etfA","Electron transfer flavoprotein subunit alpha",80,64,309,1.52,1,5,0,107,0,160,469,"Electron transfer flavoprotein subunit alpha(469)","etfA(469)",126,960,859.41,804,1,"CG108_00980","CG118_03276","CG989_04058","CG1013_04630","T393_94_04913","Rr4_00265","CG47_02782","Ni1_04398","T60_94_00859;T60_94_05345","T267_94_00953;T267_94_05312","P86_93_00950;P86_93_05244","AB4_05112","CG964_04571","CG49_02907"
"g001733_000001","g001733",NA,"hypothetical protein",60,34,308,1,1,2,3,1,3,1,309,"hypothetical protein(312)","NA(312)",165,1923,1886.45,805,1,"CG108_01362","CG118_01642","CG989_00718","CG1013_02909","T393_94_02423","Rr4_03783","CG47_02479","Ni1_03226","T60_94_00699","T267_94_02670","P86_93_02669","AB4_01135","CG964_02758","CG49_02418"
"g004814_000002","g004814","dppB","Dipeptide transport system permease protein DppB",70,16,308,1,1,2,0,1,0,1,309,"Dipeptide transport system permease protein DppB(191):Glutathione transport system permease protein GsiC(67):Nickel transport system permease protein NikB(51)","dppB(191):gsiC(67):nikB(51)",999,999,999,805,2,"CG108_01363","CG118_01641","CG989_00719","CG1013_02908","T393_94_02422","Rr4_03782","CG47_02478","Ni1_03225","T60_94_00698","T267_94_02669","P86_93_02668","AB4_01136","CG964_02757","CG49_02417"
"g002201_1_000003","g002201_1",NA,"hypothetical protein",70,27,308,1,1,2,0,1,0,1,309,"hypothetical protein(309)","NA(309)",1146,1191,1177.94,805,3,"CG108_01364","CG118_01640","CG989_00720","CG1013_02907","T393_94_02421","Rr4_03781","CG47_02477","Ni1_03224","T60_94_00697","T267_94_02668","P86_93_02667","AB4_01137","CG964_02756","CG49_02416"
"g003020_000003","g003020","murG","hypothetical protein",80,24,308,1,1,2,2,1,2,1,309,"hypothetical protein(162):UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase(149)","NA(162):murG(149)",381,1302,1203.52,805,4,"CG108_01365","CG118_01639","CG989_00721","CG1013_02906","T393_94_02420","Rr4_03780","CG47_02476","Ni1_03223","T60_94_00696","T267_94_02667","P86_93_02666","AB4_01138","CG964_02755","CG49_02415"
"g000382_000003","g000382","mshA","D-inositol-3-phosphate glycosyltransferase",80,40,308,1,1,2,6,1,6,1,309,"D-inositol-3-phosphate glycosyltransferase(308):hypothetical protein(6):GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase(1)","mshA(308):NA(6):pimB(1)",225,1341,1233.56,805,5,"CG108_01366","CG118_01638","CG989_00722","CG1013_02905","T393_94_02419","Rr4_03779","CG47_02475","Ni1_03222","T60_94_00695","T267_94_02666","P86_93_02665","AB4_01139","CG964_02754","CG49_02414"
"g000561_000001","g000561","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase",60,50,308,1.01,1,2,2,2,2,2,310,"UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase(310):hypothetical protein(2)","murG(310):NA(2)",489,1188,1146.17,805,6,"CG108_01367","CG118_01637","CG989_00723","CG1013_02904","T393_94_02418","Rr4_03778","CG47_02474","Ni1_03221","T60_94_00694","T267_94_02665","P86_93_02664","AB4_01140","CG964_02753","CG49_02413"
"g001691_000001","g001691","lldR","Putative L-lactate dehydrogenase operon regulatory protein",60,35,308,1,1,2,0,1,0,1,309,"Putative L-lactate dehydrogenase operon regulatory protein(287):Transcriptional regulator NanR(17):HTH-type transcriptional repressor NanR(3):HTH-type transcriptional regulator LutR(1):Pyruvate dehydrogenase complex repressor(1)","lldR(287):nanR(20):lutR(1):pdhR(1)",690,912,766.85,806,1,"CG108_02145","CG118_02285","CG989_02413","CG1013_02141","T393_94_02613","Rr4_04669","CG47_00726","Ni1_00243","T60_94_02247","T267_94_02867","P86_93_02882","AB4_03663","CG964_03101","CG49_00133"
"g003192_000002","g003192","gsiB","Glutathione-binding protein GsiB",70,24,308,1,1,1,0,0,0,0,308,"Glutathione-binding protein GsiB(220):Periplasmic dipeptide transport protein(88)","gsiB(220):dppA(88)",1509,1512,1509.26,806,2,"CG108_02146","CG118_02286","CG989_02412","CG1013_02140","T393_94_02614","Rr4_04670","CG47_00727","Ni1_00242","T60_94_02248","T267_94_02868","P86_93_02883","AB4_03662","CG964_03100","CG49_00134"
"g004817_1_000003","g004817_1","gsiC","Glutathione transport system permease protein GsiC",70,15,308,1,1,1,1,0,1,0,308,"Glutathione transport system permease protein GsiC(298):Dipeptide transport system permease protein DppB(11)","gsiC(298):dppB(11)",228,960,944.4,806,3,"CG108_02147","CG118_02287","CG989_02411","CG1013_02139","T393_94_02615","Rr4_04671","CG47_00728","Ni1_00241","T60_94_02249","T267_94_02869","P86_93_02884","AB4_03661","CG964_03099","CG49_00135"
"g002293_1_000004","g002293_1","gsiD","Glutathione transport system permease protein GsiD",80,29,308,1,1,1,1,0,1,0,308,"Glutathione transport system permease protein GsiD(305):putative D%2CD-dipeptide transport system permease protein DdpC(3):hypothetical protein(1)","gsiD(305):ddpC(3):NA(1)",159,879,871.17,806,4,"CG108_02148","CG118_02288","CG989_02410","CG1013_02138","T393_94_02616","Rr4_04672","CG47_00729","Ni1_00240","T60_94_02250","T267_94_02870","P86_93_02885","AB4_03660","CG964_03098","CG49_00136"
"g001325_000002","g001325","ywrD","Glutathione hydrolase-like YwrD proenzyme",70,38,308,1,1,1,1,0,1,0,308,"Glutathione hydrolase-like YwrD proenzyme(294):Glutathione hydrolase proenzyme(11):Acylase ACY 1 proenzyme(3):hypothetical protein(1)","ywrD(294):ggt(11):acyI(3):NA(1)",351,1788,1779.9,806,5,"CG108_02149","CG118_02289","CG989_02409","CG1013_02137","T393_94_02617","Rr4_04673","CG47_00730","Ni1_00239","T60_94_02251","T267_94_02871","P86_93_02886","AB4_03659","CG964_03097","CG49_00137"
"g002004","g002004","rbn","Ribonuclease BN",50,32,308,1,1,1,0,0,0,0,308,"Ribonuclease BN(308)","rbn(308)",666,942,844.84,807,1,"CG108_02354","CG118_02494","CG989_02202","CG1013_01932","T393_94_02823","Rr4_04879","CG47_04759","Ni1_03504","T60_94_02457","T267_94_03077","P86_93_03092","AB4_03454","CG964_02890","CG49_00343"
"g000100","g000100",NA,"hypothetical protein",50,82,308,1,1,2,1,1,1,1,309,"hypothetical protein(310)","NA(310)",297,750,741.5,807,2,"CG108_01359","CG118_01645","CG989_00715","CG1013_02912","T393_94_02426","Rr4_03786","CG47_02482","Ni1_03229","T60_94_00702","T267_94_02673","P86_93_02672","AB4_01132","CG964_02761","CG49_02421"
"g000139","g000139","mshA","D-inositol-3-phosphate glycosyltransferase",50,77,308,1,1,2,0,1,0,1,309,"D-inositol-3-phosphate glycosyltransferase(303):N-acetyl-alpha-D-glucosaminyl L-malate synthase(6)","mshA(303):bshA(6)",1032,1194,1096.72,807,3,"CG108_01358","CG118_01646","CG989_00714","CG1013_02913","T393_94_02427","Rr4_03787","CG47_02483","Ni1_03230","T60_94_00703","T267_94_02674","P86_93_02673","AB4_01131","CG964_02762","CG49_02422"
"g001241_1_000003","g001241_1","ydbM","hypothetical protein",70,36,308,1,1,2,0,1,0,1,309,"hypothetical protein(140):Cyclohex-1-ene-1-carbonyl-CoA dehydrogenase(97):Putative acyl-CoA dehydrogenase YdbM(46):Glutaryl-CoA dehydrogenase(26)","NA(237):ydbM(46):Acd(26)",1155,1215,1189.35,808,1,"CG108_03004","CG118_01999","CG989_02727","CG1013_01364","T393_94_01440","Rr4_01090","CG47_01905","Ni1_01380","T60_94_01924","T267_94_01749","P86_93_01750","AB4_00731","CG964_02117","CG49_01552"
"g003736_000003","g003736",NA,"Amino acid--[acyl-carrier-protein] ligase",80,21,308,1,1,2,0,1,0,1,309,"Amino acid--[acyl-carrier-protein] ligase(309)","NA(309)",699,972,908.57,808,2,"CG108_03003","CG118_02000","CG989_02728","CG1013_01363","T393_94_01439","Rr4_01089","CG47_01904","Ni1_01381","T60_94_01923","T267_94_01748","P86_93_01749","AB4_00730","CG964_02116","CG49_01553"
"g000687_000001","g000687",NA,"hypothetical protein",60,49,308,1,1,1,0,0,0,0,308,"hypothetical protein(308)","NA(308)",963,1041,980.4,808,3,"CG108_03002","CG118_02001","CG989_02729","CG1013_01362","T393_94_01438","Rr4_01088","CG47_01903","Ni1_01382","T60_94_01922","T267_94_01747","P86_93_01748","AB4_00729","CG964_02115","CG49_01554"
"g003782_000002","g003782","cysT","Sulfate transport system permease protein CysT",70,18,308,1,1,2,0,1,0,1,309,"Sulfate transport system permease protein CysT(309)","cysT(309)",825,909,858.84,809,1,"CG108_02178","CG118_02318","CG989_02380","CG1013_02109","T393_94_02646","Rr4_04702","CG47_00758","Ni1_00211","T60_94_02280","T267_94_02900","P86_93_02915","AB4_03631","CG964_03068","CG49_00166"
"g000374_1_000004","g000374_1","cysW","Sulfate transport system permease protein CysW",70,29,308,1,1,2,0,1,0,1,309,"Sulfate transport system permease protein CysW(309)","cysW(309)",795,879,871.43,809,2,"CG108_02177","CG118_02317","CG989_02381","CG1013_02110","T393_94_02645","Rr4_04701","CG47_00757","Ni1_00212","T60_94_02279","T267_94_02899","P86_93_02914","AB4_03632","CG964_03069","CG49_00165"
"g000483_1_000001","g000483_1","cysA","Sulfate/thiosulfate import ATP-binding protein CysA",60,28,308,1,1,2,1,1,1,1,309,"Sulfate/thiosulfate import ATP-binding protein CysA(308):Vitamin B12 import ATP-binding protein BtuD(1):hypothetical protein(1)","cysA(308):NA(1):btuD(1)",207,1068,1038.53,809,3,"CG108_02176","CG118_02316","CG989_02382","CG1013_02111","T393_94_02644","Rr4_04700","CG47_00756","Ni1_00213","T60_94_02278","T267_94_02898","P86_93_02913","AB4_03633","CG964_03070","CG49_00164"
"g000478_1_000004","g000478_1","gsiB","Glutathione-binding protein GsiB",70,52,308,1,1,1,1,0,1,0,308,"Glutathione-binding protein GsiB(309)","gsiB(309)",480,1665,1532.06,810,1,"CG108_03680","CG118_02527","CG989_02169","CG1013_01899","T393_94_02856","Rr4_05127","CG47_04726","Ni1_03471","T60_94_02490","T267_94_03110","P86_93_03125","AB4_03421","CG964_05044","CG49_00376"
"g001268_1_000003","g001268_1","gsiC","Glutathione transport system permease protein GsiC",70,38,308,1,1,1,0,0,0,0,308,"Glutathione transport system permease protein GsiC(259):Dipeptide transport system permease protein DppB(49)","gsiC(259):dppB(49)",945,1020,952.5,810,2,"CG108_03679","CG118_02528","CG989_02168","CG1013_01898","T393_94_02857","Rr4_05126","CG47_04725","Ni1_03470","T60_94_02491","T267_94_03111","P86_93_03126","AB4_03420","CG964_05043","CG49_00377"
"g001136_1_000001","g001136_1","gsiD","Glutathione transport system permease protein GsiD",60,40,308,1,1,1,0,0,0,0,308,"Glutathione transport system permease protein GsiD(306):hypothetical protein(2)","gsiD(306):NA(2)",819,876,839.18,810,3,"CG108_03678","CG118_02529","CG989_02167","CG1013_01897","T393_94_02858","Rr4_05125","CG47_04724","Ni1_03469","T60_94_02492","T267_94_03112","P86_93_03127","AB4_03419","CG964_05042","CG49_00378"
"g002238_000001","g002238","kdpA","Potassium-transporting ATPase potassium-binding subunit",60,30,308,1,1,1,0,0,0,0,308,"Potassium-transporting ATPase potassium-binding subunit(308)","kdpA(308)",1704,1710,1705.52,811,1,"CG108_03993","CG118_04502","CG989_04473","CG1013_03767","T393_94_03926","Rr4_04222","CG47_03424","Ni1_03964","T60_94_04700","T267_94_04984","P86_93_04602","AB4_04766","CG964_03520","CG49_04276"
